연도,키워드,평균 검색량(상대적)
2010,헬스,66.13207547
2010,러닝,12.43396226
2010,필라테스,1.056603774
2010,크로스핏,0
2010,홈트,0
2013,헬스,39.60377358
2013,러닝,10.56603774
2013,필라테스,6.20754717
2013,크로스핏,3.452830189
2013,홈트,0
2016,헬스,82.33962264
2016,러닝,31.9245283
2016,필라테스,17.54716981
2016,크로스핏,7.509433962
2016,홈트,0
2019,헬스,86.8490566
2019,러닝,52.24528302
2019,필라테스,25.11320755
2019,크로스핏,6.018867925
2019,홈트,1.037735849
2020,헬스,77.1509434
2020,러닝,66.01886792
2020,필라테스,20.28301887
2020,크로스핏,4.58490566
2020,홈트,3.867924528
2021,러닝,88.88679245
2021,헬스,73.8490566
2021,필라테스,23.05660377
2021,크로스핏,5.132075472
2021,홈트,5.037735849
2022,러닝,83.09433962
2022,헬스,74.13207547
2022,필라테스,22.16981132
2022,크로스핏,7.094339623
2022,홈트,3.58490566
2023,러닝,69.81132075
2023,헬스,69.20754717
2023,필라테스,16.24528302
2023,크로스핏,6.528301887
2023,홈트,2.396226415
2024,러닝,68.83018868
2024,헬스,49.90566038
2024,필라테스,10
2024,크로스핏,4.547169811
2024,홈트,1.716981132
